Assay_Type	AvgSpotLen	BioSample	Experiment	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	Sex	individual	tissue	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	Platform	ReleaseDate	SRA_Study	source_name
RNA-Seq	50	SAMN08797956	SRX3849762	cDNA	TRANSCRIPTOMIC	2018-04-04	2116	1741	Macaca mulatta	SRR6900800	SRS3094259	GSM3068307	male	YN07-314	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797955	SRX3849763	cDNA	TRANSCRIPTOMIC	2018-04-04	2148	1802	Macaca mulatta	SRR6900801	SRS3094261	GSM3068308	female	YN07-330	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797953	SRX3849764	cDNA	TRANSCRIPTOMIC	2018-04-04	2049	1740	Macaca mulatta	SRR6900802	SRS3094262	GSM3068309	female	YN07-330	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797952	SRX3849765	cDNA	TRANSCRIPTOMIC	2018-04-04	2582	2135	Macaca mulatta	SRR6900803	SRS3094263	GSM3068310	female	YN07-330	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797951	SRX3849766	cDNA	TRANSCRIPTOMIC	2018-04-04	2584	2182	Macaca mulatta	SRR6900804	SRS3094265	GSM3068311	female	YN07-330	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797949	SRX3849767	cDNA	TRANSCRIPTOMIC	2018-03-26	3254	1761	Macaca mulatta	SRR6900805	SRS3094264	GSM3068312	male	YN07-315	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797948	SRX3849768	cDNA	TRANSCRIPTOMIC	2018-03-26	2208	1659	Macaca mulatta	SRR6900806	SRS3094266	GSM3068313	male	YN07-315	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797946	SRX3849769	cDNA	TRANSCRIPTOMIC	2018-03-26	2702	1443	Macaca mulatta	SRR6900807	SRS3094268	GSM3068314	male	YN07-315	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797944	SRX3849770	cDNA	TRANSCRIPTOMIC	2018-03-26	2994	1597	Macaca mulatta	SRR6900808	SRS3094267	GSM3068315	male	YN07-315	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797943	SRX3849771	cDNA	TRANSCRIPTOMIC	2018-03-26	2333	1304	Macaca mulatta	SRR6900809	SRS3094269	GSM3068316	male	YN07-317	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797942	SRX3849772	cDNA	TRANSCRIPTOMIC	2018-03-26	2650	1364	Macaca mulatta	SRR6900810	SRS3094270	GSM3068317	male	YN07-317	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797941	SRX3849773	cDNA	TRANSCRIPTOMIC	2018-03-26	3487	2630	Macaca mulatta	SRR6900811	SRS3094271	GSM3068318	male	YN07-317	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797940	SRX3849774	cDNA	TRANSCRIPTOMIC	2018-03-26	2986	1582	Macaca mulatta	SRR6900812	SRS3094272	GSM3068319	male	YN07-317	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393990	SRX4192966	RANDOM	GENOMIC	2018-06-11	2380	1600	Pan troglodytes	SRR7289904	SRS3403801	GSM3184740	male	4x0519	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393989	SRX4192967	RANDOM	GENOMIC	2018-06-11	1257	719	Pan troglodytes	SRR7289905	SRS3403802	GSM3184741	male	4x0519	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	52	SAMN09393988	SRX4192968	RANDOM	GENOMIC	2018-06-11	4576	3140	Pan troglodytes	SRR7289906	SRS3403803	GSM3184742	male	4x0519	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393987	SRX4192969	RANDOM	GENOMIC	2018-06-11	8913	6329	Pan troglodytes	SRR7289907	SRS3403804	GSM3184743	male	4x0519	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393986	SRX4192970	RANDOM	GENOMIC	2018-06-11	10580	7446	Pan troglodytes	SRR7289908	SRS3403806	GSM3184744	male	4x0519	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393985	SRX4192971	RANDOM	GENOMIC	2018-06-11	8556	6071	Pan troglodytes	SRR7289909	SRS3403805	GSM3184745	male	4x0519	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	51	SAMN09393984	SRX4192972	RANDOM	GENOMIC	2018-06-11	8984	5978	Pan troglodytes	SRR7289910	SRS3403807	GSM3184746	male	4x0519	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393983	SRX4192973	RANDOM	GENOMIC	2018-06-11	9116	6380	Pan troglodytes	SRR7289911	SRS3403808	GSM3184747	male	4x0519	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	51	SAMN09393982	SRX4192974	RANDOM	GENOMIC	2018-06-11	869	510	Pan troglodytes	SRR7289912	SRS3403830	GSM3184748	male	4x0519	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	52	SAMN09393981	SRX4192975	RANDOM	GENOMIC	2018-06-11	7209	5091	Pan troglodytes	SRR7289913	SRS3403809	GSM3184749	male	4x0519	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393980	SRX4192976	RANDOM	GENOMIC	2018-06-11	9347	6797	Pan troglodytes	SRR7289914	SRS3403810	GSM3184750	male	4x0519	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393979	SRX4192977	RANDOM	GENOMIC	2018-06-11	9474	6950	Pan troglodytes	SRR7289915	SRS3403811	GSM3184751	male	YN07-387	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	51	SAMN09393978	SRX4192978	RANDOM	GENOMIC	2018-06-11	9860	6600	Pan troglodytes	SRR7289916	SRS3403812	GSM3184752	male	YN07-387	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393977	SRX4192979	RANDOM	GENOMIC	2018-06-11	3604	2708	Pan troglodytes	SRR7289917	SRS3403813	GSM3184753	male	YN07-387	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393976	SRX4192980	RANDOM	GENOMIC	2018-06-11	10020	6911	Pan troglodytes	SRR7289918	SRS3403814	GSM3184754	male	YN07-387	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	52	SAMN09394033	SRX4192981	RANDOM	GENOMIC	2018-06-11	9069	6486	Pan troglodytes	SRR7289919	SRS3403815	GSM3184755	male	YN07-387	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09394003	SRX4192982	RANDOM	GENOMIC	2018-06-11	10111	7319	Pan troglodytes	SRR7289920	SRS3403816	GSM3184756	male	YN07-387	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09394002	SRX4192983	RANDOM	GENOMIC	2018-06-11	8892	5745	Pan troglodytes	SRR7289921	SRS3403817	GSM3184757	male	YN07-387	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09394001	SRX4192984	RANDOM	GENOMIC	2018-06-11	9883	7046	Pan troglodytes	SRR7289922	SRS3403818	GSM3184758	male	YN07-387	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09394000	SRX4192985	RANDOM	GENOMIC	2018-06-11	8887	6221	Pan troglodytes	SRR7289923	SRS3403819	GSM3184759	female	4x0516	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	52	SAMN09393999	SRX4192986	RANDOM	GENOMIC	2018-06-11	8904	6538	Pan troglodytes	SRR7289924	SRS3403820	GSM3184760	female	4x0516	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393998	SRX4192987	RANDOM	GENOMIC	2018-06-11	2420	1637	Pan troglodytes	SRR7289925	SRS3403821	GSM3184761	female	4x0516	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393997	SRX4192988	RANDOM	GENOMIC	2018-06-11	4701	3381	Pan troglodytes	SRR7289926	SRS3403822	GSM3184762	female	4x0516	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	51	SAMN09393996	SRX4192989	RANDOM	GENOMIC	2018-06-11	4594	2750	Pan troglodytes	SRR7289927	SRS3403823	GSM3184763	female	4x0516	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393995	SRX4192990	RANDOM	GENOMIC	2018-06-11	5930	4041	Pan troglodytes	SRR7289928	SRS3403824	GSM3184764	female	4x0516	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393994	SRX4192991	RANDOM	GENOMIC	2018-06-11	9022	6175	Pan troglodytes	SRR7289929	SRS3403825	GSM3184765	female	4x0516	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	59	SAMN09393993	SRX4192992	RANDOM	GENOMIC	2018-06-11	8266	5938	Pan troglodytes	SRR7289930	SRS3403826	GSM3184766	female	4x0516	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393992	SRX4192993	RANDOM	GENOMIC	2018-06-11	3489	2591	Pan troglodytes	SRR7289931	SRS3403827	GSM3184767	female	4x0516	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	51	SAMN09393991	SRX4192994	RANDOM	GENOMIC	2018-06-11	9820	6400	Pan troglodytes	SRR7289932	SRS3403828	GSM3184768	female	4x0516	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	50	SAMN09393913	SRX4192995	RANDOM	GENOMIC	2018-06-11	3805	2815	Pan troglodytes	SRR7289933	SRS3403829	GSM3184769	male	YN07-147	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
Bisulfite-Seq	51	SAMN09393912	SRX4192996	RANDOM	GENOMIC	2018-06-11	10258	6813	Pan troglodytes	SRR7289934	SRS3403831	GSM3184770	male	YN07-147	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
